"Year","Birth order","Age class of mother","Age class of father","Live births"
"2001","Second child","50 years or more","20-24 years",0
"2001","Second child","50 years or more","25-29 years",0
"2001","Second child","50 years or more","30-34 years",2
"2001","Second child","50 years or more","35-39 years",0
"2001","Second child","50 years or more","40-44 years",2
"2001","Second child","50 years or more","45-49 years",0
"2001","Second child","50 years or more","50-59 years",2
"2001","Second child","50 years or more","60-69 years",0
"2001","Second child","50 years or more","70 years or more",0
"2001","Second child","50 years or more","Unknown",0
"2001","Third child","Less than 20 years","Less than 20 years",0
"2001","Third child","Less than 20 years","20-24 years",1
"2001","Third child","Less than 20 years","25-29 years",0
"2001","Third child","Less than 20 years","30-34 years",0
"2001","Third child","Less than 20 years","35-39 years",0
"2001","Third child","Less than 20 years","40-44 years",0
"2001","Third child","Less than 20 years","45-49 years",0
"2001","Third child","Less than 20 years","50-59 years",0
"2001","Third child","Less than 20 years","60-69 years",0
"2001","Third child","Less than 20 years","70 years or more",0
"2001","Third child","Less than 20 years","Unknown",0
"2001","Third child","20-24 years","Less than 20 years",0
"2001","Third child","20-24 years","20-24 years",23
"2001","Third child","20-24 years","25-29 years",98
"2001","Third child","20-24 years","30-34 years",40
"2001","Third child","20-24 years","35-39 years",12
"2001","Third child","20-24 years","40-44 years",2
"2001","Third child","20-24 years","45-49 years",1
"2001","Third child","20-24 years","50-59 years",0
"2001","Third child","20-24 years","60-69 years",0
"2001","Third child","20-24 years","70 years or more",0
"2001","Third child","20-24 years","Unknown",0
"2001","Third child","25-29 years","Less than 20 years",1
"2001","Third child","25-29 years","20-24 years",9
"2001","Third child","25-29 years","25-29 years",451
"2001","Third child","25-29 years","30-34 years",745
"2001","Third child","25-29 years","35-39 years",259
"2001","Third child","25-29 years","40-44 years",49
"2001","Third child","25-29 years","45-49 years",14
"2001","Third child","25-29 years","50-59 years",5
"2001","Third child","25-29 years","60-69 years",1
"2001","Third child","25-29 years","70 years or more",0
"2001","Third child","25-29 years","Unknown",0
"2001","Third child","30-34 years","Less than 20 years",0
"2001","Third child","30-34 years","20-24 years",0
"2001","Third child","30-34 years","25-29 years",98
"2001","Third child","30-34 years","30-34 years",1492
"2001","Third child","30-34 years","35-39 years",1459
"2001","Third child","30-34 years","40-44 years",358
"2001","Third child","30-34 years","45-49 years",65
"2001","Third child","30-34 years","50-59 years",29
"2001","Third child","30-34 years","60-69 years",3
"2001","Third child","30-34 years","70 years or more",0
"2001","Third child","30-34 years","Unknown",0
"2001","Third child","35-39 years","Less than 20 years",0
"2001","Third child","35-39 years","20-24 years",0
"2001","Third child","35-39 years","25-29 years",16
"2001","Third child","35-39 years","30-34 years",283
"2001","Third child","35-39 years","35-39 years",1192
"2001","Third child","35-39 years","40-44 years",572
"2001","Third child","35-39 years","45-49 years",113
"2001","Third child","35-39 years","50-59 years",40
"2001","Third child","35-39 years","60-69 years",5
"2001","Third child","35-39 years","70 years or more",0
"2001","Third child","35-39 years","Unknown",0
"2001","Third child","40-44 years","Less than 20 years",0
"2001","Third child","40-44 years","20-24 years",0
"2001","Third child","40-44 years","25-29 years",2
"2001","Third child","40-44 years","30-34 years",19
"2001","Third child","40-44 years","35-39 years",84
"2001","Third child","40-44 years","40-44 years",196
"2001","Third child","40-44 years","45-49 years",56
"2001","Third child","40-44 years","50-59 years",16
"2001","Third child","40-44 years","60-69 years",1
"2001","Third child","40-44 years","70 years or more",0
"2001","Third child","40-44 years","Unknown",0
"2001","Third child","45-49 years","Less than 20 years",0
"2001","Third child","45-49 years","20-24 years",0
"2001","Third child","45-49 years","25-29 years",0
"2001","Third child","45-49 years","30-34 years",0
"2001","Third child","45-49 years","35-39 years",1
"2001","Third child","45-49 years","40-44 years",1
"2001","Third child","45-49 years","45-49 years",5
"2001","Third child","45-49 years","50-59 years",2
"2001","Third child","45-49 years","60-69 years",0
"2001","Third child","45-49 years","70 years or more",0
"2001","Third child","45-49 years","Unknown",0
"2001","Third child","50 years or more","Less than 20 years",0
"2001","Third child","50 years or more","20-24 years",0
"2001","Third child","50 years or more","25-29 years",0
"2001","Third child","50 years or more","30-34 years",0
"2001","Third child","50 years or more","35-39 years",1
"2001","Third child","50 years or more","40-44 years",1
"2001","Third child","50 years or more","45-49 years",0
"2001","Third child","50 years or more","50-59 years",0
"2001","Third child","50 years or more","60-69 years",0
"2001","Third child","50 years or more","70 years or more",0
"2001","Third child","50 years or more","Unknown",0
"2001","Fourth child or more","Less than 20 years","Less than 20 years",0
"2001","Fourth child or more","Less than 20 years","20-24 years",0
"2001","Fourth child or more","Less than 20 years","25-29 years",0
"2001","Fourth child or more","Less than 20 years","30-34 years",0
"2001","Fourth child or more","Less than 20 years","35-39 years",0
"2001","Fourth child or more","Less than 20 years","40-44 years",0
"2001","Fourth child or more","Less than 20 years","45-49 years",0
"2001","Fourth child or more","Less than 20 years","50-59 years",0
"2001","Fourth child or more","Less than 20 years","60-69 years",0
"2001","Fourth child or more","Less than 20 years","70 years or more",0
"2001","Fourth child or more","Less than 20 years","Unknown",0
"2001","Fourth child or more","20-24 years","Less than 20 years",0
"2001","Fourth child or more","20-24 years","20-24 years",4
"2001","Fourth child or more","20-24 years","25-29 years",10
"2001","Fourth child or more","20-24 years","30-34 years",9
"2001","Fourth child or more","20-24 years","35-39 years",0
"2001","Fourth child or more","20-24 years","40-44 years",1
"2001","Fourth child or more","20-24 years","45-49 years",0
"2001","Fourth child or more","20-24 years","50-59 years",0
"2001","Fourth child or more","20-24 years","60-69 years",0
"2001","Fourth child or more","20-24 years","70 years or more",0
"2001","Fourth child or more","20-24 years","Unknown",0
"2001","Fourth child or more","25-29 years","Less than 20 years",0
"2001","Fourth child or more","25-29 years","20-24 years",2
"2001","Fourth child or more","25-29 years","25-29 years",80
"2001","Fourth child or more","25-29 years","30-34 years",143
"2001","Fourth child or more","25-29 years","35-39 years",64
"2001","Fourth child or more","25-29 years","40-44 years",14
"2001","Fourth child or more","25-29 years","45-49 years",2
"2001","Fourth child or more","25-29 years","50-59 years",4
"2001","Fourth child or more","25-29 years","60-69 years",0
"2001","Fourth child or more","25-29 years","70 years or more",0
"2001","Fourth child or more","25-29 years","Unknown",0
"2001","Fourth child or more","30-34 years","Less than 20 years",0
"2001","Fourth child or more","30-34 years","20-24 years",0
"2001","Fourth child or more","30-34 years","25-29 years",21
"2001","Fourth child or more","30-34 years","30-34 years",333
"2001","Fourth child or more","30-34 years","35-39 years",510
"2001","Fourth child or more","30-34 years","40-44 years",116
"2001","Fourth child or more","30-34 years","45-49 years",33
"2001","Fourth child or more","30-34 years","50-59 years",9
"2001","Fourth child or more","30-34 years","60-69 years",0
"2001","Fourth child or more","30-34 years","70 years or more",0
"2001","Fourth child or more","30-34 years","Unknown",0
"2001","Fourth child or more","35-39 years","Less than 20 years",0
"2001","Fourth child or more","35-39 years","20-24 years",0
"2001","Fourth child or more","35-39 years","25-29 years",2
"2001","Fourth child or more","35-39 years","30-34 years",65
"2001","Fourth child or more","35-39 years","35-39 years",505
"2001","Fourth child or more","35-39 years","40-44 years",328
"2001","Fourth child or more","35-39 years","45-49 years",74
"2001","Fourth child or more","35-39 years","50-59 years",12
"2001","Fourth child or more","35-39 years","60-69 years",1
"2001","Fourth child or more","35-39 years","70 years or more",0
"2001","Fourth child or more","35-39 years","Unknown",0
"2001","Fourth child or more","40-44 years","Less than 20 years",0
"2001","Fourth child or more","40-44 years","20-24 years",0
"2001","Fourth child or more","40-44 years","25-29 years",0
"2001","Fourth child or more","40-44 years","30-34 years",3
"2001","Fourth child or more","40-44 years","35-39 years",34
"2001","Fourth child or more","40-44 years","40-44 years",123
"2001","Fourth child or more","40-44 years","45-49 years",80
"2001","Fourth child or more","40-44 years","50-59 years",15
"2001","Fourth child or more","40-44 years","60-69 years",3
"2001","Fourth child or more","40-44 years","70 years or more",0
"2001","Fourth child or more","40-44 years","Unknown",0
"2001","Fourth child or more","45-49 years","Less than 20 years",0
"2001","Fourth child or more","45-49 years","20-24 years",0
"2001","Fourth child or more","45-49 years","25-29 years",0
"2001","Fourth child or more","45-49 years","30-34 years",0
"2001","Fourth child or more","45-49 years","35-39 years",2
"2001","Fourth child or more","45-49 years","40-44 years",3
"2001","Fourth child or more","45-49 years","45-49 years",5
"2001","Fourth child or more","45-49 years","50-59 years",5
"2001","Fourth child or more","45-49 years","60-69 years",0
"2001","Fourth child or more","45-49 years","70 years or more",0
"2001","Fourth child or more","45-49 years","Unknown",0
"2001","Fourth child or more","50 years or more","Less than 20 years",0
"2001","Fourth child or more","50 years or more","20-24 years",0
"2001","Fourth child or more","50 years or more","25-29 years",0
"2001","Fourth child or more","50 years or more","30-34 years",0
"2001","Fourth child or more","50 years or more","35-39 years",0
"2001","Fourth child or more","50 years or more","40-44 years",0
"2001","Fourth child or more","50 years or more","45-49 years",0
"2001","Fourth child or more","50 years or more","50-59 years",1
"2001","Fourth child or more","50 years or more","60-69 years",0
"2001","Fourth child or more","50 years or more","70 years or more",0
"2001","Fourth child or more","50 years or more","Unknown",0
